entity,entity_type,metric,value,period,source
Heartland,standalone,Total Risk-Weighted Assets,4094.3,2018-Q1,rbnz-dashboard
Heartland,standalone,Total Non-Performing Loans,66.4,2018-Q1,rbnz-dashboard
Heartland,standalone,NPL Ratio,1.7,2018-Q1,rbnz-dashboard
Heartland,standalone,Individual Provisions,6.3,2018-Q1,rbnz-dashboard
Heartland,standalone,Collective Provisions,21,2018-Q1,rbnz-dashboard
Heartland,standalone,Return on Assets,1.6,2018-Q1,rbnz-dashboard
Heartland,standalone,Return on Equity,11.1,2018-Q1,rbnz-dashboard
Heartland,standalone,NIM,4.5,2018-Q1,rbnz-dashboard
Heartland,standalone,Net Interest Income,46.7,2018-Q1,rbnz-dashboard
Heartland,standalone,Trading and Hedging Gains,0,2018-Q1,rbnz-dashboard
Heartland,standalone,Fees and Commission Income,0.5,2018-Q1,rbnz-dashboard
Heartland,standalone,Other Income,3,2018-Q1,rbnz-dashboard
Heartland,standalone,Operating Expenses,20,2018-Q1,rbnz-dashboard
Heartland,standalone,Profit After Tax,17.5,2018-Q1,rbnz-dashboard
Heartland,standalone,Total Assets,4388.3,2018-Q1,rbnz-dashboard
Heartland,standalone,Cash Position,84.8,2018-Q1,rbnz-dashboard
Heartland,standalone,Net Loans and Advances,3882.1,2018-Q1,rbnz-dashboard
Heartland,standalone,Deposits,2803.9,2018-Q1,rbnz-dashboard
Heartland,standalone,Equity,636.6,2018-Q1,rbnz-dashboard
Heartland,standalone,Core Funding Ratio (CFR),95.2,2018-Q1,rbnz-dashboard
Heartland,standalone,1-Month Mismatch Ratio,5.1,2018-Q1,rbnz-dashboard
